YearsExperience,Salary
5.46,87651.55
0.82,40709.45
5.92,82729.1
4.46,73465.97
1.88,52425.83
7.07,100728.34
6.14,88283.8
2.32,53246.9
12.83,153633.87
11.42,126938.63
11.89,127762.26
14.61,169232.45
8.98,117633.43
11.34,130480.38
5.92,87845.37
5.37,75488.7
5.73,83965.06
12.23,138589.87
3.25,68931.69
1.85,36974.42
9.97,114916.4
9.23,114066.26
14.77,170886.48
10.5,116476.58
1.08,38232.38
9.62,119112.92
13.27,153707.86
14.58,157995.41
14.21,156894.75
2.08,55261.86
0.9,47000.07
0.94,43537.51
1.66,45495.03
7.17,103784.37
14.56,152630.2
3.69,62213.46
8.25,98286.93
14.01,148231.83
2.01,46985.48
6.02,79660.22
4.48,75890.41
11.32,135541.77
8.33,104212.91
0.92,37801.94
6.39,87509.86
14.12,147992.88
1.91,51012.36
3.27,67275.9
8.4,102521.73
9.25,118012.42
9.19,102946.65
11.42,131482.44
5.93,86215.53
9.71,108160.13
5.87,79226.78
11.63,143499.2
12.31,132095.87
10.84,126761.42
14.64,161514.12
10.7,120361.42
8.86,118984.0
1.23,42886.15
8.04,105336.8
7.54,95893.0
14.84,171902.67
0.57,41488.23
1.38,33334.52
10.29,113892.09
11.04,133051.9
6.47,83673.35
1.01,42465.33
5.87,80359.61
4.94,83433.99
4.37,59771.18
4.83,81839.75
4.9,74234.55
3.56,64400.62
11.72,139496.59
4.38,61254.59
13.85,144985.51
6.92,102244.56
10.34,115387.46
1.36,36839.61
13.57,142705.8
5.54,71533.8
5.54,83630.5
8.67,104445.17
4.46,66458.42
14.74,154363.86
5.56,80041.9
14.41,153266.88
7.95,102721.36
7.37,91551.72
6.68,92133.91
11.14,125840.06
11.61,126932.14
5.53,82927.59
5.66,79755.14
3.46,52069.63
10.13,118787.5
7.78,101538.86
1.52,44380.95
1.22,44969.68
9.13,110412.01
5.06,78341.88
13.36,159143.14
9.24,108244.86
0.9,39133.65
9.21,118429.31
13.5,145557.05
11.4,136160.92
14.73,161644.22
13.36,147584.01
9.82,109048.28
6.9,101809.22
2.04,48539.29
9.51,117135.88
3.85,70504.02
13.84,150305.83
5.21,72842.71
8.67,108733.62
14.96,168272.69
4.26,75222.22
8.58,99576.62
2.78,45066.95
6.62,85131.38
8.92,102594.68
13.69,160663.97
13.81,157471.68
12.22,136148.52
13.91,158402.28
6.23,89865.94
3.79,62002.24
1.38,45429.32
3.68,65013.83
8.2,113338.17
3.7,71501.13
3.69,61081.15
7.82,107764.96
3.4,54024.69
4.95,80609.86
6.01,80891.61
4.68,78493.52
2.86,64933.19
4.62,66154.6
13.56,147140.26
14.07,156546.21
12.77,152763.19
14.68,153282.55
5.99,92585.65
14.48,168673.77
5.29,84715.56
14.53,159683.88
5.73,80893.29
1.67,35513.52
11.81,140561.43
14.0,147280.97
14.51,160280.24
6.15,93499.26
1.84,45546.69
3.7,67959.13
14.94,160652.3
11.39,136096.2
1.58,37575.08
11.2,130536.0
9.07,110668.45
0.89,42440.17
12.94,148875.68
13.3,141396.15
11.96,140709.38
13.76,163021.5
6.1,94198.77
8.0,101846.03
10.87,122974.42
13.73,145007.62
7.02,88777.18
6.26,80744.7
9.42,109513.78
5.67,77417.95
10.11,115094.1
7.0,91091.26
6.61,85156.82
2.68,53078.94
10.67,135117.43
13.98,159437.0
1.99,38596.78
2.5,59777.24
6.46,84500.65
10.39,123499.75
6.88,99085.59
13.51,153480.35
4.65,71685.08
12.29,132216.06
13.03,139022.59
1.77,37436.32
7.84,94855.47
6.07,83878.63
2.43,53376.96
7.83,108204.71
12.49,146879.09
11.27,122773.86
10.85,130366.71
14.02,159101.3
13.44,160783.44
7.69,94960.47
13.67,155312.76
1.35,48506.17
2.41,50634.53
6.55,89654.51
13.64,148726.15
10.81,119073.57
14.73,162017.35
12.77,138344.49
13.65,149474.23
14.69,155756.77
7.26,87239.88
11.54,143343.97
1.01,42693.24
14.68,164414.57
5.58,71906.75
14.0,150463.0
14.54,158959.64
13.93,159522.53
6.59,93112.21
7.0,95394.51
14.09,151949.25
10.77,136430.51
1.3,34538.21
3.09,52316.78
1.67,43410.25
5.79,88868.53
14.23,159816.76
3.19,64511.05
14.84,157436.22
13.36,147490.84
0.98,46898.12
7.25,96648.81
14.59,158616.31
14.43,160098.01
12.84,136335.42
1.07,30914.28
2.73,54187.98
1.34,48274.01
0.76,28725.08
11.18,122803.74
9.24,110062.96
3.79,72930.2
11.81,133071.69
9.99,112078.57
14.24,166268.09
3.83,73787.08
14.88,167290.33
7.11,92980.19
11.31,138631.22
7.79,105228.3
6.62,88261.17
11.58,136055.32
6.88,86255.05
12.57,146360.62
13.02,137910.94
11.87,126840.92
10.29,115963.71
5.22,69179.66
2.62,52692.63
13.41,147244.49
10.98,138519.39
4.31,72068.94
1.84,38466.27
14.4,166659.52
13.4,141980.1
1.66,50245.57
2.14,39564.0
11.41,141798.2
10.76,117409.4
3.85,71959.76
4.51,78677.01
3.09,61370.92
12.56,142723.76
11.41,135860.03
7.47,90156.22
5.42,75164.5
3.84,67800.22
13.94,152404.38
12.69,135303.79
5.36,77443.6
2.47,53703.44
14.51,163518.62
7.8,108708.3
5.99,83702.51
5.76,91794.84
3.16,57791.77
1.29,38154.05
14.01,160161.04
11.89,136979.98
5.29,69638.2
0.91,42938.71
13.6,152827.43
4.14,61170.29
14.99,170350.48
12.42,145172.38
14.57,161735.96
12.54,145520.31
12.43,142415.14
1.54,38869.4
0.84,30280.93
9.5,107032.48
7.74,103640.97
13.01,147501.82
3.32,55205.99
0.99,42892.98
13.55,153687.9
9.13,119331.25
10.11,117213.21
12.18,134993.26
11.3,130586.88
11.64,125600.34
5.37,84794.73
5.7,87272.63
5.4,84594.91
8.58,100746.91
11.67,128898.69
9.71,123783.18
12.39,133928.59
9.2,117634.63
11.19,124078.95
6.58,95640.9
2.94,53643.47
13.32,154130.67
7.16,96900.29
4.48,61766.15
1.42,52021.99
4.58,69092.99
1.35,40762.61
5.43,80161.95
2.04,44075.5
6.16,92798.76
3.96,61462.26
0.79,42437.14
13.54,160883.29
11.17,120617.28
9.94,122280.38
12.99,140606.82
5.1,69013.97
2.8,61559.52
10.43,128448.32
10.57,134456.11
1.57,51233.21
6.19,90156.49
12.05,144696.52
12.34,135225.55
1.22,33484.91
7.61,91917.4
14.37,155650.38
14.42,152838.16
4.38,60780.02
5.72,84982.14
4.03,65153.36
5.64,71902.0
4.16,75420.22
4.32,60671.88
3.94,73025.36
3.17,60900.45
12.16,143957.9
3.78,64438.75
9.67,118275.35
11.21,130130.83
6.16,84110.87
7.48,103273.7
1.85,56559.93
4.62,68971.63
10.63,118079.46
7.4,88419.07
6.11,85809.69
1.57,42038.61
7.86,105538.06
10.34,128834.04
9.76,115728.95
8.69,100850.87
2.49,50886.23
2.24,43909.2
0.68,33406.69
1.07,34441.83
13.71,148746.29
12.57,152774.52
5.31,79079.18
11.41,129203.99
7.09,86558.48
7.83,92650.06
4.49,76205.09
6.46,96392.87
5.44,73939.01
6.38,78093.47
7.15,102564.35
6.15,92066.17
11.36,127928.11
5.68,77724.4
1.09,35447.32
12.62,136849.65
10.31,120893.87
8.22,97172.43
12.04,135980.99
5.52,74529.62
5.04,73149.66
7.0,102905.58
10.65,123319.63
14.57,166388.58
8.1,101051.25
4.54,63009.05
3.52,71063.83
13.23,149139.01
1.5,52559.51
4.31,63827.96
3.09,58888.63
2.04,57752.54
1.12,33038.45
9.87,128007.84
8.42,97104.51
9.68,117610.1
3.85,66970.01
14.71,171993.12
11.83,128694.42
8.49,104801.36
3.56,52057.43
2.26,51372.77
8.17,94357.33
1.76,39370.4
1.07,39234.37
12.1,134418.4
12.53,142579.74
13.15,150018.96
5.24,85400.23
8.47,104905.57
5.86,75045.57
13.42,153210.33
10.55,126780.58
3.13,65548.28
1.34,50494.74
2.82,52822.55
4.3,74338.99
3.57,52208.89
14.92,156583.02
9.6,111508.87
4.0,60490.83
2.62,63289.95
14.71,167402.61
4.27,59903.35
8.03,99123.9
11.47,141417.31
14.94,173916.1
14.16,155189.46
6.3,85763.79
11.18,122620.03
14.97,167246.18
10.08,129889.67
6.51,91161.57
5.63,74773.59
6.09,83808.53
13.82,162446.17
12.63,152810.91
2.32,53821.49
9.33,113865.97
9.06,115374.41
7.39,100931.57
6.62,96539.41
5.43,83637.27
12.41,137546.39
9.22,112271.07
8.99,105270.4
8.47,101109.1
14.26,157331.4
1.72,47727.53
13.73,147606.68
5.48,81377.06
4.5,61978.41
7.71,104770.24
10.49,133506.04
2.48,46853.49
9.64,118801.6
12.02,137753.82
5.44,74757.52
14.87,168718.4
12.88,155344.73
6.59,98749.66
10.19,117793.31
0.8,36859.07
11.6,133670.79
1.52,35026.16
9.06,114884.87
2.55,57952.98
2.97,47488.83
2.54,57306.11
12.52,142726.2
4.72,76181.04
6.8,86682.73
12.82,144485.4
13.0,153799.59
9.58,106608.16
0.73,35771.24
6.14,91465.39
4.66,66146.59
0.52,40872.89
5.63,80949.94
5.04,66017.79
3.96,59577.05
14.72,153696.91
14.83,161102.51
13.88,164726.21
3.2,63325.6
13.42,145990.79
11.67,132633.63
4.73,78815.35
2.82,60059.08
10.26,114129.08
7.88,95792.84
8.68,99317.91
12.03,137700.25
5.1,77512.47
7.0,102129.32
12.65,140816.88
8.66,115480.15
0.68,31100.71
6.45,93306.38
14.58,168737.57
1.26,48035.87
12.48,150320.33
5.42,76756.35
4.24,76003.17
14.22,154333.71
10.9,132209.51
0.78,39053.71
8.0,95388.12
12.34,133402.16
12.98,153880.09
6.98,95910.45
9.3,118550.88
9.8,121926.66
0.65,28904.83
0.64,26184.75
14.61,168854.92
10.67,129753.87
4.34,72327.76
7.19,86779.5
6.16,80764.69
3.84,66714.3
9.0,108702.92
4.5,75672.01
7.95,103389.8
9.07,111573.22
14.89,166222.45
14.34,159516.03
3.86,63772.14
9.01,104576.2
12.23,130941.6
2.69,57262.25
4.34,62138.3
2.96,52180.86
8.8,108016.44
7.95,102107.29
4.08,64676.05
6.36,95739.88
13.73,163489.52
13.0,154119.71
12.58,133594.53
7.44,92254.3
8.6,111729.28
6.45,91791.24
12.19,144973.95
13.22,141394.71
1.28,47375.65
8.68,100277.0
6.59,95077.82
9.57,124252.49
3.92,58247.84
4.76,74805.54
11.84,128905.09
5.64,73359.02
4.38,63839.66
8.72,118059.19
8.94,106583.17
12.44,146797.32
10.14,124057.51
6.37,78973.5
0.74,37754.45
6.84,93762.33
2.93,47963.45
2.29,57561.02
0.79,42838.02
1.17,38727.43
14.42,166527.38
9.21,109015.59
6.93,88328.01
7.68,105089.45
13.21,157337.8
10.04,111593.23
8.66,102028.56
10.85,130983.79
2.56,56969.46
7.07,87102.04
5.52,75715.03
9.23,106247.92
8.0,110323.37
11.99,129092.23
11.16,120911.88
10.35,118138.22
6.87,88930.99
6.22,93810.39
3.43,60321.49
7.49,101023.44
8.74,100867.74
7.58,107392.7
4.96,76773.82
0.77,36463.29
7.89,100034.58
4.27,61878.77
4.15,59084.92
8.72,102549.07
5.44,69235.68
4.39,61060.24
10.7,135316.13
2.07,48964.65
11.0,127212.5
7.92,104768.04
0.67,37819.62
1.28,43631.27
3.11,55162.44
14.97,164029.31
11.53,133292.55
9.28,108655.61
14.74,172065.52
4.09,74108.43
8.92,105315.37
11.49,130959.47
3.25,59309.89
14.91,168429.06
7.11,86208.69
1.03,45605.41
7.13,98638.27
4.22,61626.3
12.8,152734.0
12.55,139992.07
2.39,61264.11
4.29,60273.0
11.07,126717.69
14.26,156575.04
1.12,40936.22
9.7,107318.21
13.74,158564.54
7.41,102466.45
6.56,88693.73
2.88,50949.69
5.44,82768.46
3.23,54275.99
6.19,86533.03
14.45,159132.29
12.55,134880.19
12.75,142333.94
2.18,54798.85
9.91,120095.99
14.43,153921.17
4.7,67385.37
10.6,127845.19
2.25,57030.22
0.78,41885.78
14.35,157068.4
7.81,93567.24
8.15,96099.9
2.49,46273.68
4.35,70205.37
5.38,72013.34
2.08,44091.28
7.3,93246.39
1.45,49830.75
14.64,171619.01
11.99,132474.0
1.14,34854.17
5.56,76881.65
4.77,72067.61
6.14,94780.53
4.72,63654.27
4.17,59467.49
2.61,59918.44
14.95,162861.91
2.39,53696.37
5.58,87169.35
8.59,105071.66
8.61,108009.24
1.09,44552.89
3.27,49668.75
11.79,127288.37
5.91,85053.56
4.66,63517.44
2.72,64251.62
11.21,139208.6
14.46,164916.25
11.53,132555.22
10.09,126649.28
10.31,126978.25
4.86,77801.45
4.14,77129.69
13.95,163539.25
3.06,59831.67
1.36,43959.59
3.88,57430.79
9.62,108011.8
8.37,112927.14
0.59,37022.61
10.11,115581.95
10.49,122668.28
7.31,94502.71
8.89,100307.37
7.38,95385.57
3.94,60322.96
5.85,86766.86
12.35,133926.1
4.59,78418.38
8.15,103764.19
5.43,83926.78
12.38,147759.28
9.07,120171.52
9.5,107513.78
9.76,109404.84
3.19,59399.18
8.3,97658.65
13.4,141180.58
14.49,156834.5
14.98,162494.42
4.64,78970.76
6.72,87414.03
9.0,119257.8
12.28,141282.6
12.18,138678.04
6.18,81667.15
4.77,82425.78
5.82,86868.52
0.93,42739.15
5.56,81967.05
3.32,69194.68
9.6,120929.03
4.68,64017.21
6.24,83696.34
5.01,81403.28
7.76,98816.38
7.16,87481.13
9.6,109892.98
8.91,105907.48
1.28,49745.28
10.97,119415.95
1.64,44439.85
1.04,47283.4
12.7,145166.17
9.9,117532.66
2.35,61095.68
11.46,126010.61
8.78,105215.76
2.92,54063.8
9.81,117714.09
8.11,105796.2
10.66,126081.97
13.74,158483.68
13.23,151862.66
6.62,83168.52
7.13,86643.81
7.68,91860.21
0.93,33971.25
13.63,151207.89
7.74,109595.21
7.94,96737.46
4.43,74419.21
6.4,80023.37
12.65,134564.19
0.8,42405.51
6.91,89843.0
10.59,120781.07
8.93,118574.22
5.65,77371.03
3.39,56673.39
10.13,111464.68
2.32,60734.85
14.91,172813.49
13.98,147127.82
8.93,116715.7
6.3,87955.23
14.08,151235.92
8.24,101362.25
0.88,42693.44
13.02,151862.55
4.63,72933.22
5.7,85142.2
2.2,53291.74
7.57,95616.06
2.71,51786.58
11.07,126047.93
3.56,53836.17
13.35,143722.27
5.23,78993.15
4.86,66111.79
10.76,136554.7
3.49,61791.12
0.96,47890.73
6.88,95124.64
1.21,41923.67
9.19,109782.56
4.88,82005.24
6.61,93867.05
10.31,123116.73
10.35,131295.8
14.03,164801.83
1.49,50364.98
8.13,101745.85
6.7,85343.75
3.33,56930.66
9.81,118366.05
9.3,121040.63
3.9,66134.31
1.35,51636.08
7.0,98687.57
6.08,76296.89
14.16,147625.34
3.33,50049.54
2.68,49494.92
10.56,117454.42
6.07,78516.47
0.89,40566.51
7.97,102055.78
14.41,161150.5
10.2,116488.37
8.72,106579.9
7.66,89361.49
12.96,142223.61
1.97,53371.26
13.47,151426.74
2.01,56061.48
14.9,160907.7
6.04,81426.35
13.33,155094.72
0.56,38191.46
1.8,36766.9
0.79,40615.11
2.53,43060.44
3.72,57861.1
11.12,121034.58
13.4,158883.08
2.5,61191.78
0.52,39611.45
13.31,141623.63
4.71,78266.33
6.85,99640.47
5.24,83292.39
2.66,49415.99
